Datetime,Open,High,Low,Close,Volume
2026-04-28 09:30:00,500.0000,500.7000,499.5600,500.5500,178664
2026-04-28 09:35:00,500.5500,502.2300,500.2300,500.9100,129376
2026-04-28 09:40:00,500.9100,501.9100,500.4000,501.4000,121509
2026-04-28 09:45:00,501.4000,503.6100,501.3800,502.4400,107427
2026-04-28 09:50:00,502.4400,502.6800,501.5500,502.0200,176270
2026-04-28 09:55:00,502.0200,503.8600,501.7000,503.3700,165015
2026-04-28 10:00:00,503.3700,506.5900,502.6200,506.2800,167255
2026-04-28 10:05:00,506.2800,506.3900,504.8500,505.8200,162176
2026-04-28 10:10:00,505.8200,507.6700,503.9500,506.2900,120360
2026-04-28 10:15:00,506.2900,507.7000,504.8500,505.9000,134193
2026-04-28 10:20:00,505.9000,507.2200,504.1300,505.1900,129688
2026-04-28 10:25:00,505.1900,505.6500,502.1200,502.9500,92180
2026-04-28 10:30:00,502.9500,503.5800,502.0400,502.9700,137319
2026-04-28 10:35:00,502.9700,503.3800,499.8900,500.6300,114506
2026-04-28 10:40:00,500.6300,502.2000,499.8900,501.7600,97163
2026-04-28 10:45:00,501.7600,502.8200,500.6600,501.3100,82288
2026-04-28 10:50:00,501.3100,501.8100,499.4900,500.8500,140751
2026-04-28 10:55:00,500.8500,502.5200,498.5300,500.5200,140203
2026-04-28 11:00:00,500.5200,500.9500,499.5100,500.0100,137647
2026-04-28 11:05:00,500.0100,501.3000,499.5600,500.0700,74723
2026-04-28 11:10:00,500.0700,500.8600,500.0500,500.4900,85825
2026-04-28 11:15:00,500.4900,502.0400,500.1800,501.3400,73474
2026-04-28 11:20:00,501.3400,502.3600,500.7000,502.1000,65334
2026-04-28 11:25:00,502.1000,502.8500,502.0400,502.5900,99759
2026-04-28 11:30:00,502.5900,503.6700,500.5600,500.6200,99086
2026-04-28 11:35:00,500.6200,501.8100,500.1200,501.5100,89938
2026-04-28 11:40:00,501.5100,503.3100,500.6600,503.0700,88615
2026-04-28 11:45:00,503.0700,503.9500,502.7600,503.6500,57651
2026-04-28 11:50:00,503.6500,503.9600,502.9400,503.8200,58679
2026-04-28 11:55:00,503.8200,504.5100,502.7100,503.7200,83929
2026-04-28 12:00:00,503.7200,503.9000,502.8200,503.4600,75125
2026-04-28 12:05:00,503.4600,503.6200,502.8500,503.3400,49854
2026-04-28 12:10:00,503.3400,504.5200,502.7400,503.9500,75248
2026-04-28 12:15:00,503.9500,505.6900,503.8600,504.9700,56607
2026-04-28 12:20:00,504.9700,505.1200,504.0000,505.0000,63354
2026-04-28 12:25:00,505.0000,505.3700,504.4200,504.8400,63384
2026-04-28 12:30:00,504.8400,505.5700,503.8100,504.0000,61101
2026-04-28 12:35:00,504.0000,504.5100,503.6100,504.4000,56629
2026-04-28 12:40:00,504.4000,504.6900,504.2900,504.6100,77875
2026-04-28 12:45:00,504.6100,505.2100,504.4200,504.9800,62363
2026-04-28 12:50:00,504.9800,505.6200,504.6700,505.4200,75853
2026-04-28 12:55:00,505.4200,506.2400,504.8800,506.0300,71319
2026-04-28 13:00:00,506.0300,506.1100,505.0100,505.0700,74021
2026-04-28 13:05:00,505.0700,505.5700,504.3600,504.6200,58874
2026-04-28 13:10:00,504.6200,505.3100,504.1300,504.7400,79491
2026-04-28 13:15:00,504.7400,505.5500,504.0700,505.3800,65553
2026-04-28 13:20:00,505.3800,505.6300,504.2900,505.2700,62017
2026-04-28 13:25:00,505.2700,505.9700,504.7800,505.7000,63793
2026-04-28 13:30:00,505.7000,506.2900,505.6800,505.7800,58205
2026-04-28 13:35:00,505.7800,505.9900,504.4300,504.4600,70684
2026-04-28 13:40:00,504.4600,504.4600,502.7200,503.0700,71086
2026-04-28 13:45:00,503.0700,504.2200,502.9200,503.9400,68756
2026-04-28 13:50:00,503.9400,504.7500,503.7500,504.2400,77451
2026-04-28 13:55:00,504.2400,504.9200,503.6100,504.1500,110057
2026-04-28 14:00:00,504.1500,505.0300,503.5200,503.5900,93182
2026-04-28 14:05:00,503.5900,504.5600,502.5100,504.5400,92709
2026-04-28 14:10:00,504.5400,505.4900,504.1000,505.1600,68363
2026-04-28 14:15:00,505.1600,505.8200,503.9400,504.9900,98078
2026-04-28 14:20:00,504.9900,509.1200,503.9800,508.3800,127020
2026-04-28 14:25:00,508.3800,510.2900,506.7600,510.0000,103943
2026-04-28 14:30:00,510.0000,512.8500,509.8900,511.8000,114939
2026-04-28 14:35:00,511.8000,512.5600,510.8100,510.9000,105312
2026-04-28 14:40:00,510.9000,511.2000,510.7300,510.7500,110419
2026-04-28 14:45:00,510.7500,512.5800,510.1700,511.4500,119219
2026-04-28 14:50:00,511.4500,511.8900,509.8500,511.6400,153881
2026-04-28 14:55:00,511.6400,512.0800,510.6200,511.3200,152941
2026-04-28 15:00:00,511.3200,511.4800,509.4200,510.3200,131645
2026-04-28 15:05:00,510.3200,511.2000,509.6700,511.0800,165371
2026-04-28 15:10:00,511.0800,514.8900,509.5500,513.8800,102087
2026-04-28 15:15:00,513.8800,516.8000,513.1100,515.1800,130167
2026-04-28 15:20:00,515.1800,516.1600,513.9500,514.2100,116017
2026-04-28 15:25:00,514.2100,517.4100,513.6500,515.0900,103474
2026-04-28 15:30:00,515.0900,515.3400,514.3200,515.2700,101915
2026-04-28 15:35:00,515.2700,516.9500,513.1700,513.8200,174035
2026-04-28 15:40:00,513.8200,514.1800,512.5400,512.7600,157389
2026-04-28 15:45:00,512.7600,513.7200,512.0600,513.3900,102644
2026-04-28 15:50:00,513.3900,513.8800,512.7400,512.8600,157880
2026-04-28 15:55:00,512.8600,515.1700,512.2900,513.8500,134504
2026-04-29 09:30:00,513.8500,515.6300,513.2500,515.4900,163977
2026-04-29 09:35:00,515.4900,516.2000,515.1900,515.7000,140417
2026-04-29 09:40:00,515.7000,517.9400,514.3400,516.8500,125261
2026-04-29 09:45:00,516.8500,517.6400,514.2800,517.0400,108979
2026-04-29 09:50:00,517.0400,519.7900,516.2100,518.1600,106289
2026-04-29 09:55:00,518.1600,519.5300,515.0400,517.4800,113549
2026-04-29 10:00:00,517.4800,519.4600,517.4200,518.5700,163166
2026-04-29 10:05:00,518.5700,518.8100,518.3200,518.4600,108197
2026-04-29 10:10:00,518.4600,519.1200,515.2500,515.4400,107076
2026-04-29 10:15:00,515.4400,515.8800,514.9500,515.0600,146626
2026-04-29 10:20:00,515.0600,517.0400,512.2300,513.0300,109993
2026-04-29 10:25:00,513.0300,514.3900,510.3300,510.9500,96607
2026-04-29 10:30:00,510.9500,512.0900,509.5600,512.0400,149102
2026-04-29 10:35:00,512.0400,513.5900,511.9100,513.2600,153725
2026-04-29 10:40:00,513.2600,513.7300,512.6900,513.1200,126951
2026-04-29 10:45:00,513.1200,513.3200,509.4200,511.2100,140912
2026-04-29 10:50:00,511.2100,512.1200,510.2700,511.1100,121558
2026-04-29 10:55:00,511.1100,512.1100,509.5800,511.0100,116423
2026-04-29 11:00:00,511.0100,512.0400,509.3200,510.0900,122782
2026-04-29 11:05:00,510.0900,510.3000,509.8300,510.1100,116410
2026-04-29 11:10:00,510.1100,510.6400,508.4800,509.3000,114082
2026-04-29 11:15:00,509.3000,510.4000,508.3000,510.0700,71284
2026-04-29 11:20:00,510.0700,510.9600,509.9700,510.3000,114353
2026-04-29 11:25:00,510.3000,510.7200,509.5700,509.6100,63976
2026-04-29 11:30:00,509.6100,510.7300,508.6100,509.4200,100600
2026-04-29 11:35:00,509.4200,509.6200,508.5000,508.7200,107907
2026-04-29 11:40:00,508.7200,509.0200,508.0500,508.2400,58739
2026-04-29 11:45:00,508.2400,508.2500,507.7400,508.0600,73042
2026-04-29 11:50:00,508.0600,508.5400,507.1500,507.4300,76057
